name,price,description,in_stock,reviews
Ноутбук Lenovo IdeaPad Slim 3 15ABR8 Ryzen 5-7520U 16GB / SSD 512GB / Radeon Graphics / NO OS / 82XQ00JPRK,45990,Категория: Для работы и учебы  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: AMD® Radeon™ Graphics  / Операционная система: Без ОС  / Модель процессора: 7520U  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Lenovo LOQ 15ARP10E Ryzen 7 7735HS 16GB / SSD 512GB / GeForce RTX 4050 6GB / NO OS / 83S00009RK,94990,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 4050 6GB  / Операционная система: Без ОС  / Модель процессора: 7735HS  / Сканер отпечатков пальцев: Нет,Есть в наличии,
Ноутбук Asus TUF Gaming A15 R7165SG35N AMD Ryzen 7 170 16 GB / SSD 512GB / RTX 3050 4GB / NO OS / 90NR0QE7-M001C0,72890,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 3050 4GB  / Операционная система: Без ОС  / Модель процессора: 170  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Asus TUF Gaming F16 FX607VJB-RL204 Core i5-210H 16GB / SSD 512GB / RTX 3050 4GB / NO OS / 90NR0MZ6-M00AT0,84790,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 3050 4GB  / Операционная система: Без ОС  / Модель процессора: 210H  / Сканер отпечатков пальцев: Нет,На витрине,
"Ноутбук Apple MacBook Neo Apple A18 Pro chip with 6 / 13"" / 8GB/ SSD 256GB / MacOS / Indigo / MHFF4RU/A",69190,Категория: Apple MacBook  / Объем оперативной памяти: 8 GB  / Тип и объем накопителя: SSD 256GB  / Модель видеоадаптера: Apple A18 Pro  / Операционная система: MacOS  / Модель процессора: Apple A18 Pro  / Сканер отпечатков пальцев: Да,Есть в наличии,
Ноутбук Acer Nitro V 15 Core i5 13420H 16 GB / SSD 512GB / RTX 5050 8GB / NO OS / NH.QZ7ER.001 / I5165SG55N,101690,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 5050 8GB  / Операционная система: Без ОС  / Модель процессора: 13420H  / Сканер отпечатков пальцев: Нет,Есть в наличии,
Ноутбук Lenovo LOQ 15ARP10E Ryzen 5  16GB / SSD 512GB / GeForce RTX 3050 6GB / NO OS / 83S000BNRK,86490,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 3050 6GB  / Операционная система: Без ОС  / Модель процессора: 150  / Сканер отпечатков пальцев: Нет,Есть в наличии,
Ноутбук ACER Aspire Lite 16 / NX.J5RER.002 / I385SUN,38990,Категория: Для работы и учебы  / Объем оперативной памяти: 8 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: Intel® UHD Graphics  / Операционная система: Без ОС  / Модель процессора: 1305U  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Acer Nitro Lite 16 / NL16-71G / Intel Core i5 13420H / 16GB / SSD 512GB RTX 3050 6GB / NO OS / NH.D2AER.002 / I5165SG35N,74590,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 3050 6GB  / Операционная система: Без ОС  / Модель процессора: 13420H  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Acer Aspire Lite Intel-N N150 8GB / SSD 512GB / UHD Graphics / NO OS / NX.D2FER.002,35590,Категория: Для работы и учебы  / Объем оперативной памяти: 8 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: Intel® UHD Graphics  / Операционная система: Без ОС  / Модель процессора: N150  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Asus TUF Gaming A16 R7165SG45N AMD Ryzen 7 170 16 GB / SSD 512GB / RTX 4050 6GB / NO OS / 90NR0QF3-M001W0,94990,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 4050 6GB  / Операционная система: Без ОС  / Модель процессора: 170  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Lenovo IdeaPad Slim 3 15IRU8 Intel Core i3 1315U 8GB / SSD 512GB / Integrated Intel UHD Graphics / NO OS / 82X700D6RK / I385SUN,42390,Категория: Для работы и учебы  / Объем оперативной памяти: 8 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: Integrated Intel® UHD Graphics  / Операционная система: Без ОС  / Модель процессора: 1315U  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Acer Nitro V 15 Ryzen 5 6600H 16 GB / SSD 512GB / NVIDIA RTX 3050 6GB / NO OS / NH.QSHER.004,67790,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 3050 6GB  / Операционная система: Без ОС  / Модель процессора: 6600H  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Acer Gadget E10 JN21S Celeron N150 8 GB / SSD 256GB / Intel Graphics / Win 11 / ZL.OTH11.033,30590,Категория: Для работы и учебы  / Объем оперативной памяти: 8 GB  / Тип и объем накопителя: SSD 256GB  / Модель видеоадаптера: Intel® Graphics  / Операционная система: Windows 11  / Модель процессора: N150  / Сканер отпечатков пальцев: Нет,Есть в наличии,
Ноутбук Acer Nitro V 15 Intel Core i5 13420H 16GB / SSD 512GB / RTX 5060 8GB / DOS / NH.QZ8ER.001,108490,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 5060 8GB  / Операционная система: Без ОС  / Модель процессора: 13420H  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Asus Vivobook 15 X1504VA-BQ3126W ultra 5 120U / SSD 512GB / UHD Graphics / Win 11 / 90NB13Y1-M012N0,57690,Категория: Для работы и учебы  / Объем оперативной памяти: 8 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: Intel® Graphics  / Операционная система: Windows 11  / Модель процессора: 120U  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Acer Aspire Lite 15 AL15-45P AMD Ryzen 7 5825U 16GB / SSD 512GB / AMD Radeon RX Vega 8 / DOS / NX.DLQER.001,59390,Категория: Для работы и учебы  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: AMD® Radeon Vega 8  / Операционная система: Без ОС  / Модель процессора: 5825U  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Acer Nitro V 15 Ryzen 5 150 16GB / SSD 512GB / RTX 5060 8GB / NO OS / NH.U3RER.003,101690,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 5060 8GB  / Операционная система: Без ОС  / Модель процессора: 150  / Сканер отпечатков пальцев: Нет,На витрине,
Ноутбук Apple MacBook Air 2020 M1 / 13″ / 8GB / SSD 256GB / MacOS / Space Gray / MGN63,77990,Категория: Apple MacBook  / Объем оперативной памяти: 8 GB  / Тип и объем накопителя: SSD 256GB  / Модель видеоадаптера: Apple M1  / Операционная система: MacOS  / Модель процессора: Apple M1  / Сканер отпечатков пальцев: Да,Есть в наличии,
Ноутбук Asus Vivobook Go 15 E1504GA-BQ610 Core i3-N305 8GB / SSD 256GB / UHD Graphics / NO OS / 90NB0ZT2-M02510,37290,Категория: Для работы и учебы  / Объем оперативной памяти: 8 GB  / Тип и объем накопителя: SSD 256GB  / Модель видеоадаптера: Intel® UHD Graphics  / Операционная система: Без ОС  / Модель процессора: N305  / Сканер отпечатков пальцев: Нет,На витрине,
LED телевизор ARG LD32D7500,11090,"Диагональ экрана: 32″ - 81,3 см  / Разрешение: 1280x720 (HD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 2  / Цвет: Черный",Есть в наличии,
LED телевизор LG 43LM5772PLA,27990,"Диагональ экрана: 43″ - 109,2 см  / Разрешение: 1920х1080 (FullHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 2  / Цвет: Черный",Есть в наличии,
LED телевизор ARG LD65D7500,33890,"Диагональ экрана: 65″ -165,1 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черный",На витрине,
LED TV ACRON LD55D7500,27190,"Диагональ экрана: 55″ - 139,7см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 2  / Цвет: Черный",Есть в наличии,
LED телевизор LG 32LQ630B6LA,21190,"Диагональ экрана: 32″ - 81,3 см  / Разрешение: 1280x720 (HD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 1  / Цвет: Черный",На витрине,
LED телевизор LG 55UA73006LA,43990,"Диагональ экрана: 55″ - 139,7см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черно-серый",Есть в наличии,
LED телевизор ARG LD50D8500,26290,Диагональ экрана: 50″ - 127 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 2  / Цвет: Черный,Есть в наличии,
LED телевизор Samsung UE75U8000FUXCE,86990,"Диагональ экрана: 75″ - 190,5 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 4  / Цвет: Черный",На витрине,
OLED телевизор LG OLED55C5RLA,136990,"Диагональ экрана: 55″ - 139,7см  / Разрешение: 3840x2160 (4K UHD)  / Технология: OLED  / Smart TV: Да  / Количество HDMI портов: 4  / Цвет: Черный",Есть в наличии,
LED телевизор ARG A55U1C1,33890,"Диагональ экрана: 55″ - 139,7см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черный",Есть в наличии,
LED телевизор ARG A70U1C1,42990,"Диагональ экрана: 70″ - 177,8 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черный",Есть в наличии,
LED телевизор LG 43UA73006LA,31390,"Диагональ экрана: 43″ - 109,2 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черно-серый",На витрине,
QLED телевизор Samsung QE43Q7FAAUXCE,44090,Диагональ экрана: 43″ - 108 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: QLED  / Smart TV: Да  / Количество HDMI портов: 4  / Цвет: Черный,Есть в наличии,
LED телевизор ARG A65U1C1,34990,"Диагональ экрана: 65″ -165,1 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черный",Есть в наличии,
OLED телевизор Samsung QE65S85FAEXCE,166190,"Диагональ экрана: 65″ -165,1 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: OLED  / Smart TV: Да  / Количество HDMI портов: 4  / Цвет: Черный",Есть в наличии,
OLED телевизор LG OLED65C5RLA,188990,"Диагональ экрана: 65″ -165,1 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: OLED  / Smart TV: Да  / Количество HDMI портов: 4  / Цвет: Черный",Есть в наличии,
LED телевизор LG 65NANO80A6B,77990,"Диагональ экрана: 65″ -165,1 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: NanoCell  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черно-серый",Есть в наличии,
QNED телевизор LG 75QNED70A6A,101690,"Диагональ экрана: 75″ - 190,5 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: QLED  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черный",На витрине,
Neo QLED телевизор Samsung QE65QN70FAUXCE,118690,"Диагональ экрана: 65″ -165,1 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: Mini-LED  / Smart TV: Да  / Количество HDMI портов: 4  / Цвет: Черный",На витрине,
LED TV ACRON LD65D7500,35590,"Диагональ экрана: 65″ -165,1 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: LED  / Smart TV: Да  / Количество HDMI портов: 2  / Цвет: Черный",Есть в наличии,
QLED телевизор ARG A65Q1C3,49190,"Диагональ экрана: 65″ -165,1 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: QLED  / Smart TV: Да  / Количество HDMI портов: 3  / Цвет: Черный",Есть в наличии,
QLED телевизор Samsung QE75Q7F5AUXCE,115290,"Диагональ экрана: 75″ - 190,5 см  / Разрешение: 3840x2160 (4K UHD)  / Технология: QLED  / Smart TV: Да  / Количество HDMI портов: 4  / Цвет: Черный",На витрине,
Обогреватель масляный Electrolux Sphere EOH/M-6221 - 11,5990,Тип: Масляный  / Монтаж: Напольный  / Площадь обогрева: 27 м² / Мощность обогрева: 2200 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Тепловентилятор ARG W-HF1708,1690,Тип: Тепловентилятор  / Монтаж: Напольный  / Площадь обогрева: 15 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Обогреватель масляный Electrolux EOHM-4221,7690,Тип: Масляный  / Монтаж: Напольный  / Площадь обогрева: 27 м² / Мощность обогрева: 2200 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Тепловентилятор Ресанта ТВС-1 2кВт,1090,Тип: Тепловентилятор  / Монтаж: Настольный  / Площадь обогрева: 20 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Тепловентилятор Ресанта ТВС-2  2 кВт,1190,Тип: Тепловентилятор  / Площадь обогрева: 20 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Обогреватель конвекторный Electolux ECH/RI-2000,7690,Тип: Конвекторный  / Монтаж: Напольный  / Площадь обогрева: 20 м² / Мощность обогрева: 2000 Вт / Тип управления: Сенсорное (электронное)  / Термостат: Да,Есть в наличии,
Тепловентилятор ARG W-HC1847,3590,Тип: Тепловентилятор  / Монтаж: Напольный  / Площадь обогрева: 20 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Тепловентилятор Eleсtrolux EFH/С-5115 Black,2290,Тип: Тепловентилятор  / Монтаж: Настольный  / Площадь обогрева: 20 м² / Мощность обогрева: 1500 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Обогреватель масляный Ресанта ОМ-9Н,4090,Тип: Масляный  / Монтаж: Напольный  / Площадь обогрева: 20 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Тепловентилятор ARG W-HC1603 Black,2290,Тип: Тепловентилятор  / Монтаж: Напольный  / Площадь обогрева: 15 м² / Мощность обогрева: 1500 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Тепловентилятор ARG W-HF1705,1090,Тип: Тепловентилятор  / Монтаж: Напольный  / Площадь обогрева: 10 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Нет,Есть в наличии,
Обогреватель конвекторный ARG CPH-05-2500,5090,Тип: Конвекторный  / Монтаж: Напольный  / Площадь обогрева: 25 м² / Мощность обогрева: 2500 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Обогреватель масляный ARG W-HOF99-9,4590,Тип: Масляный  / Монтаж: Напольный  / Площадь обогрева: 20 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое,Есть в наличии,
Тепловентилятор ARG W-HC1603 White,2290,Тип: Тепловентилятор  / Монтаж: Напольный  / Площадь обогрева: 15 м² / Мощность обогрева: 1500 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Тепловентилятор Eleсtrolux EFH/С-5115 White,2290,Тип: Тепловентилятор  / Монтаж: Настольный  / Площадь обогрева: 20 м² / Мощность обогрева: 1500 Вт / Тип управления: Механическое  / Термостат: Да,На витрине,
Обогреватель масляный ARG YL-A86 11,5090,Тип: Масляный  / Монтаж: Напольный  / Площадь обогрева: 25 м² / Мощность обогрева: 2500 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Обогреватель конвекторный Electrolux ECH/AS-2000ЕR,6790,"Тип: Конвекторный  / Монтаж: Настенный, напольный  / Площадь обогрева: 25 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Да",Есть в наличии,
Обогреватель масляный Ресанта ОМПТ-9Н,4090,Тип: Масляный  / Монтаж: Напольный  / Площадь обогрева: 20 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
Обогреватель масляный Ресанта ОМПТ- 9НЧ,4590,Тип: Масляный  / Монтаж: Напольный  / Площадь обогрева: 20 м² / Мощность обогрева: 2000 Вт / Тип управления: Механическое  / Термостат: Да,Есть в наличии,
